asiakas,tuote,kpl,hinta,pvm
1000033,18810,36,38.17,2018-04-15
1000033,19379,0,3.84,2018-04-15
1000033,19473,1,332.47,2018-04-15
1000033,19384,12,10.42,2018-04-15
1000031,19460,1,349.59,2018-04-15
1000031,19468,3,168.51,2018-04-15
1000031,18875,2,62.34,2018-04-15
1000033,18799,12,39.37,2018-04-15
1000033,19516,1,87.90,2018-04-15
1000033,19470,1,144.00,2018-04-15
1000031,19476,1,448.66,2018-04-15
1000031,19484,1,227.18,2018-04-15
1000031,19515,1,144.15,2018-04-15
1000031,19464,1,102.53,2018-04-15
1000033,224126,1,0.00,2018-04-15
1000033,18811,3,426.26,2018-04-15
1007751,6030,6,54.54,2018-04-15
1007751,6957,20,5.20,2018-04-15
1007751,8288,4,43.67,2018-04-15
1007751,12670,5,25.05,2018-04-15
1007751,16945,1,15.38,2018-04-15
1007751,2875,3,19.07,2018-04-15
1007751,16932,2,19.25,2018-04-15
1007751,14240,2,111.96,2018-04-15
1007751,16792,3,19.43,2018-04-15
1007751,18380,1,309.95,2018-04-15
1007751,12635,2,22.10,2018-04-15
1007751,8677,2,31.08,2018-04-15
1007751,15187,4,111.66,2018-04-15
1007751,8918,6,37.81,2018-04-15
1007751,12470,1,35.83,2018-04-15
1007751,6733,40,12.19,2018-04-15
1007751,17140,6,18.77,2018-04-15
1007751,11965,4,26.46,2018-04-15
1007751,8885,2,23.84,2018-04-15
1007751,6443,30,9.04,2018-04-15
1007751,10737,1,19.61,2018-04-15
1007751,206121,2,108.11,2018-04-15
1007751,16037,4,11.80,2018-04-15
1007751,12196,2,10.81,2018-04-15
1007751,7161,1,33.21,2018-04-15
1007751,13321,1,403.32,2018-04-15
1007751,9870,2,98.35,2018-04-15
1007751,3920,1,14.84,2018-04-15
1007751,9434,3,37.96,2018-04-15
1007751,12266,1,28.89,2018-04-15
1007751,9421,1,196.58,2018-04-15
1007751,4231,3,43.82,2018-04-15
1007751,13490,1,54.87,2018-04-15
1007751,1590,2,50.48,2018-04-15
1007751,12464,1,17.21,2018-04-15
1007751,12929,2,88.53,2018-04-15
1007751,18298,4,1370.13,2018-04-15
1007751,13961,1,91.53,2018-04-15
1007751,15258,4,137.09,2018-04-15
1007751,13257,1,249.20,2018-04-15
1007751,12239,3,21.50,2018-04-15
1007751,112899,6,23.84,2018-04-15
1007751,13972,2,93.49,2018-04-15
1007751,15807,5,190.79,2018-04-15
1007751,17022,3,18.62,2018-04-15
1007751,6309,10,9.04,2018-04-15
1007751,16805,8,17.66,2018-04-15
1007751,12186,1,28.80,2018-04-15
1007751,113170,2,102.08,2018-04-15
1007751,11994,1,15.47,2018-04-15
1007751,9802,2,112.29,2018-04-15
1007751,4160,-1,19.43,2018-04-15
1007751,18797,72,79.85,2018-04-15
1007751,13514,1,153.67,2018-04-15
1007751,4032,1,28.80,2018-04-15
1007751,1679,2,62.01,2018-04-15
1007751,12656,4,75.32,2018-04-15
1007751,147485,2,34.57,2018-04-15
1007751,6439,20,16.01,2018-04-15
1007751,3822,2,25.26,2018-04-15
1007751,4696,1,39.76,2018-04-15
1007751,12831,1,25.08,2018-04-15
1007751,9403,1,42.91,2018-04-15
1007751,8998,1,25.20,2018-04-15
1007751,12304,1,10.06,2018-04-15
1007751,8653,1,50.93,2018-04-15
1007751,1288,5,27.75,2018-04-15
1007751,8751,2,36.40,2018-04-15
1007751,7131,1,33.21,2018-04-15
1007751,3924,1,21.56,2018-04-15
1007751,12489,1,110.84,2018-04-15
1007751,12282,1,26.28,2018-04-15
1007751,1686,20,6.82,2018-04-15
1007751,12133,1,18.05,2018-04-15
1007751,5918,3,59.52,2018-04-15
1007751,15270,2,73.07,2018-04-15
1007751,1583,2,42.58,2018-04-15
1007751,6975,130,5.20,2018-04-15
1007751,13415,2,72.01,2018-04-15
1007751,16854,1,23.36,2018-04-15
1007751,16793,2,33.27,2018-04-15
1007751,8938,2,30.03,2018-04-15
1007751,10898,1,54.30,2018-04-15
1007751,112865,9,18.08,2018-04-15
1007751,12181,2,13.93,2018-04-15
1007751,6147,3,37.18,2018-04-15
1007751,16845,2,22.61,2018-04-15
1007751,12629,2,14.26,2018-04-15
1007751,4324,2,42.04,2018-04-15
1007751,16312,1,98.89,2018-04-15
1007751,6244,5,43.57,2018-04-15
1007751,1250,2,23.84,2018-04-15
1007751,13533,5,284.14,2018-04-15
1007751,202891,-1,144.15,2018-04-15
1007751,12404,1,26.25,2018-04-15
1007751,6500,10,10.99,2018-04-15
1007751,8650,4,76.70,2018-04-15
1007751,1294,3,33.90,2018-04-15
1007751,5213,2,14.44,2018-04-15
1007751,9382,5,20.30,2018-04-15
1007751,4638,4,26.67,2018-04-15
1007751,2830,2,39.22,2018-04-15
1007751,4626,3,18.56,2018-04-15
1007751,13558,2,210.44,2018-04-15
1007751,206720,2,144.15,2018-04-15
1007751,16725,1,30.57,2018-04-15
1007751,14468,2,90.93,2018-04-15
1007751,11487,1,164.36,2018-04-15
1007751,111253,12,42.04,2018-04-15
1007751,116427,2,39.91,2018-04-15
1007751,16813,2,16.79,2018-04-15
1007751,8830,10,25.98,2018-04-15
1007751,12563,7,15.22,2018-04-15
1007751,8401,1,48.17,2018-04-15
1007751,19307,6,25.71,2018-04-15
1007751,12904,2,9.79,2018-04-15
1007751,1149,5,40.45,2018-04-15
1007751,12898,1,8.86,2018-04-15
1007751,2170,4,15.10,2018-04-15
1007751,13516,2,144.00,2018-04-15
1007751,14640,2,97.36,2018-04-15
1007751,2527,10,19.07,2018-04-15
1007751,1211,2,27.09,2018-04-15
1007751,9320,2,64.21,2018-04-15
1007751,19692,6,40.66,2018-04-15
1007751,12565,5,31.59,2018-04-15
1007751,2291,4,94.63,2018-04-15
1007751,18808,4,158.53,2018-04-15
1007751,6794,4,76.73,2018-04-15
1007751,12214,8,13.27,2018-04-15
1007751,8974,2,34.81,2018-04-15
1007751,18795,8,49.49,2018-04-15
1007751,6772,2,73.49,2018-04-15
1007751,6108,2,52.31,2018-04-15
1007751,13334,1,161.60,2018-04-15
1007751,7021,2,86.73,2018-04-15
1007751,16899,2,20.57,2018-04-15
1007751,12829,1,23.15,2018-04-15
1007751,1642,7,35.86,2018-04-15
1007751,16731,2,33.24,2018-04-15
1007751,1265,2,41.68,2018-04-15
1007751,13535,16,179.88,2018-04-15
1007751,7610,10,8.20,2018-04-15
1007751,17031,2,19.04,2018-04-15
1007751,13521,1,184.00,2018-04-15
1007751,5178,1,61.47,2018-04-15
1007751,16863,4,14.26,2018-04-15
