tuote,saldo
117368,1
202604,1
110285,1
110259,1
192249,1
110417,1
117536,1
173645,1
116455,1
8968,1
222968,1
222965,1
222966,1
128486,1
5550,1
192006,1
111069,1
115194,1
9193,1
222288,1
110283,1
117527,1
110375,1
206115,1
222964,1
18211,1
111051,1
19226,1
111050,1
117364,1
222791,1
223062,1
184686,1
116549,1
126889,1
173733,1
177119,1
117853,1
205138,1
174228,1
176269,1
177365,1
206109,1
198360,1
2788,1
195776,1
1220,1
10452,1
179227,1
110488,1
115408,1
207075,1
82989,1
116669,1
184728,1
173832,1
116269,1
117533,1
115368,1
117186,1
116816,1
231083,1
10140,1
223007,1
192946,1
111064,1
5246,1
116999,1
8120,1
6128,1
116160,1
8119,1
117002,1
11116,1
116315,1
3953,1
202481,1
164426,1
210582,1
128765,1
184726,1
3950,1
223008,1
210432,1
219871,1
159009,1
117188,1
184722,1
110308,1
19219,1
103,1
117426,1
206216,1
213194,1
10445,1
223034,1
211376,1
10780,1
5408,1
225554,1
220518,1
220529,1
211288,1
199746,1
10068,1
231401,1
223053,1
117365,1
115805,1
211237,1
155873,1
10022,1
117369,1
190304,1
113117,1
220497,1
113597,1
216017,1
210433,1
114056,1
220521,1
174094,1
112850,1
220458,1
34674,1
222839,1
40791,1
112862,1
128657,1
117420,1
116957,1
191583,1
219728,1
113144,1
200692,1
202490,1
206299,1
117067,1
173746,1
174640,1
18117,1
220472,1
220534,1
220492,1
220461,1
113148,1
113131,1
113132,1
113136,1
199640,1
220427,1
113109,1
8082,1
114676,1
17739,1
220483,1
173899,1
197927,1
126888,1
223015,1
194174,1
111085,1
4653,1
222837,1
113197,1
116858,1
175842,1
196496,1
10513,1
184033,1
6732,1
206169,1
224106,1
24094,1
10730,1
164880,1
173709,1
3834,1
117373,1
10499,1
4408,1
6869,1
4652,1
11077,1
11025,1
7600,1
197926,1
9946,1
111091,1
110472,1
110471,1
110470,1
210434,1
3809,1
9267,1
3891,1
201777,1
33542,1
184170,1
11096,1
3690,1
113142,1
223851,1
11231,1
9851,1
113145,1
8131,1
11328,1
11217,1
11228,1
14159,1
4120,1
9755,1
11459,1
14425,1
199570,1
222273,1
4017,1
6162,1
117051,1
11298,1
10480,1
9453,1
206679,1
9613,1
117128,1
11467,1
4670,1
113595,1
219975,1
114805,1
124323,1
11034,1
30422,1
219990,1
126890,1
4282,1
231400,1
201558,1
3863,1
117143,1
197165,1
16991,1
3878,1
111070,1
3334,1
19809,1
11417,1
29934,1
10084,1
14451,1
10064,1
2097,1
110493,1
10017,1
4991,1
113133,1
124779,1
111261,1
115100,1
19225,1
113138,1
1366,1
223063,1
220319,1
223002,1
4349,1
175512,1
216179,1
114803,1
201718,1
102376,1
211488,1
181065,1
202085,1
114728,1
113113,1
177222,1
202622,1
117044,1
222981,1
210710,1
113114,1
211381,1
225509,1
173465,1
206240,1
5137,1
117137,1
14107,1
222982,1
117041,1
113137,1
201715,1
9545,1
11679,1
10193,1
9816,1
116929,1
179646,1
202050,1
11179,1
114804,1
223003,1
191782,1
3959,1
9812,1
223001,1
220066,1
222272,1
1545,1
204191,1
177074,1
200274,1
223000,1
115588,1
163286,1
204148,1
223035,1
220317,1
195960,1
8616,1
175523,1
176619,1
113162,1
117135,1
222845,1
141,1
220396,1
222759,1
219677,1
192856,1
220258,1
45496,1
113435,1
72232,1
211539,1
192005,1
200352,1
220259,1
210716,1
171598,1
117147,1
201778,1
195140,1
219673,1
115501,1
25533,1
191247,1
220385,1
7538,1
120,1
210030,1
195849,1
114556,1
193247,1
172895,1
130,1
206461,1
211535,1
211379,1
4543,1
206468,1
211489,1
223013,1
117146,1
117086,1
222978,1
179238,1
117375,1
114583,1
