tuote,koodi,tuoteryhma
76550,1418195915461,40015
40034,1413128382832,40015
40035,1414669936832,40015
40205,1414411732842,40015
33607,0989663574631,40009
6053,098212740604,5340
2142,098932691643,40019
12860,1452856786742,2330
95035,2438963473331,40015
77918,1428751397191,40015
77919,1423492178191,40015
77922,1422616559191,40015
77923,1426012947191,40015
77924,1429272768191,40015
77926,1426750382191,40015
103869,F0064517149D0,40015
77995,142498946200,40015
77996,1421198056200,40015
80955,146472542310,40015
80995,1461340531310,40015
80996,1462598294310,40015
81005,1462200670310,40015
81006,1463296761310,40015
40423,1457272627742,2330
12864,145712231742,2330
40428,1455962031742,2330
40432,145936392742,2330
40438,1453046786742,2330
40439,1453950131742,2330
40440,1456708729742,2330
1411,1453479531742,2330
40442,1459786065742,2330
2263,1454562949742,2330
40449,1458215666742,2330
40450,1454629962742,2330
40451,1453540876742,2330
40455,1457768319742,2330
12870,1456907670742,2330
43284,168666817700,8040
12940,1452450633742,2330
40467,145401613742,2330
40470,1453291485742,2330
1624,1456506897742,2330
40471,1451588642742,2330
40474,1451593635742,2330
40476,1453858314742,2320
2269,1453697789742,2330
40495,1453996494742,2330
15891,1457444603742,2330
40498,1457722191742,2320
40499,1454445754742,2320
40506,1459884907742,2330
40507,1451820349742,2330
1415,1451540955742,2330
40514,1452290297742,2310
40516,1451180187742,2310
40517,1458981292742,2310
2264,045175203110,2330
40518,1453083921742,2310
59463,F004953055VC0,40015
96738,3412965020346,40015
40519,1453578179742,2310
106330,1985233764730,40009
106331,1984484727730,40009
40521,1458332627742,2310
31069,0466609406048,40018
31071,046330756048,40018
31072,0469289965048,40018
31079,0467067274048,40018
31080,0463891379048,40018
31081,046356931048,40018
99407,9437096125236,40015
40522,1454746558742,2310
100711,9467077556161,40015
99472,9445554404061,40015
99473,9449119688061,40015
99817,9443420650361,40015
99818,9444598140361,40015
99819,9444097879361,40015
99820,944817523361,40015
22214,9469394181161,40015
15231,G161255903678,1220
22244,9466180868161,40015
99821,944230503361,40015
89641,2416966323020,40015
39896,1416147150006,40015
39897,1417654191006,40015
65546,0284974692016,40012
75729,1307421498702,40009
74975,1266003362595,40008
89344,1982500554752,5910
89345,1982543857752,5910
89346,1989629801752,5910
89347,1987939223752,5910
89348,1986153982752,5910
40523,145821790742,2310
68304,034615194110,5095
